what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1295541846308
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295541846308
java.specification.version,sysinfo,,,"1.6",1295541846308
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295541846308
java.version,sysinfo,,,"1.6.0_22",1295541846308
java.vm.info,sysinfo,,,"mixed mode, sharing",1295541846308
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295541846308
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295541846308
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295541846308
java.vm.specification.version,sysinfo,,,"1.0",1295541846308
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295541846308
java.vm.version,sysinfo,,,"17.1-b03",1295541846308
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295541846386
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1295541846808
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1295541846808
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1295541846823
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295541847089
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295541850183
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295541850417
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1295541850417
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1295541850417
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1295541850714
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1295541850714
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1295541852011
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1295541852011
